,0,1
56,2020-04-27 08:49:08+00:00,"The maximum risk is the 50,000 cancer patients doomed to die, 2,000,000 cancelled operations, inadequate PPE, lack of testing, 6,500,000 facing job loss, millions of companies going bust, collapse of the economy"
57,2020-04-27 08:26:21+00:00,"The maximum risk is the 50,000 cancer patients doomed to die, 2,000,000 cancelled operations, inadequate PPE, lack of testing, 6,500,000 facing job loss, millions of companies going bust, collapse of the economy"
58,2020-04-27 04:54:50+00:00,Putting this #COVID19 estimated job loss in into perspective is about the same as the entire population of the UK 
59,2020-04-26 20:46:42+00:00,"Negative equity, hyper inflation job loss, poverty &amp; death all on our doorstep, in real time, is very different to death &amp; poverty 2000 miles away. Many UK people are complacent fools &amp; are now being attacked from within. #COVID19 &amp; #Brexit will show no mercy, so must be exposed."
60,2020-04-26 13:36:12+00:00,What income does Victoria Beckham draw from her loss making business for which she would pay any tax? The Job Retention Scheme is aimed at businesses to furlough their staff rather than make them redundant. Why should UK taxpayers support Victoria Beckham's loss making business?
61,2020-04-26 09:44:38+00:00,So nice of you! Sorry to hear about your job loss :( 
62,2020-04-26 08:59:46+00:00,"Then you need to understand about the balancing act between corporation and tax to avoid a 'brain drain’. Its called economics. Tax too high and business relocates to tax havens, taking jobs with them. Loss of jobs means loss of income tax and more social welfare. More money lost"
63,2020-04-26 08:22:52+00:00,"* Wage support for MSMEs based on UK model (this is already delayed IMO!) * Less corporate tax for companies suffering revenue loss * More tax breaks for property purchases * Tax relief for those who lose jobs * ""Google tax"" which is inevitable globally (3/n)"
64,2020-04-25 22:33:59+00:00,"Risks of poverty through job loss has been addressed by UK, Germany, Australia, NZ through wage subsidy via employers to keep people attached to work. This has not been done in US hence huge unemployment registrations."
65,2020-04-25 21:20:43+00:00,"Joanna Cherry you really are contemptible, the world is suffering from this pandemic & your eyes are only on independence. People are dying, others suffering from loss of jobs. Without being part of the UK, Scotland would be stumped, businesses left to their own devices."
66,2020-04-25 17:54:28+00:00,"Of course they’ll suffer but not nearly as much as us. And if we can dismiss it, they can more so. Also, a job loss in Germany is felt much less keenly than one in the UK. Germany being a civic society."
67,2020-04-25 11:02:56+00:00,"(2/6) - Loss of 10 TV channels, including the UK’s most watched (BBC One) and one digital channel - Loss of several regional TV programmes - Loss of dozens of national and local radio stations - Damage to supply chains and jobs throughout the industry!!!! The BBC also provides:"
68,2020-04-25 09:49:43+00:00,"Congress has blame rulling Govt. Loss Crrors of Jobs? From where this figure came let them clarify pls. Lockdown without planning? Govt has not given pre-alret one week in advance regarding corona. I.e. Italy, US,UK given one week time to country. That result can see anyone."
69,2020-04-25 09:32:45+00:00,"So someone starts a job on Feb 3rd and receives full support of UK Govt. Someone starts a job March 3rd and is abandoned to financial meltdown, loss of confidence, anxiety, palpitations and constantly scribbling monthly outgoings on kitchen calendar. Bless you @RishiSunak ."
70,2020-04-25 07:28:50+00:00,"The worst-hit country is the UK, with 140 million fewer journeys and an estimated £21.1bn revenue loss – “risking almost 661,200 jobs” Air and cruise shutdown to cost UK more than £40bn "
71,2020-04-25 07:00:42+00:00,UCU slams University of Manchester over #coronavirus job loss threats @ucu @UCUMMoss #coronavirusuk #COVID19 https://www.union-news.co.uk/ucu-slams-university-of-manchester-over-coronavirus-job-loss-threats/
72,2020-04-24 23:54:52+00:00,"We think in UK it;s 6000 extra deaths over this period. So yes, how many old people that have been locked up and scared themselves to death or died of a broken heart etc,all the people that have topped themselves/had heart attacks etc due to job/business loss etc,"
73,2020-04-24 22:12:18+00:00,"Even when it causes damage and pain etc, always using the words the people have a right to know,public dnt care, like UK ambassador to the USA, it caused a job loss, problems between USA and UK, problem with a president,pain upset and grieve,just so media could profit from story,"
74,2020-04-24 20:49:38+00:00,"Sorry for your loss. And yes the nurses have such a tough job. I'm a little uneasy about the way people in the UK say 'we clap for the NHS because they keep us safe' - sure, clap for them, but what they're doing is a lot more harrowing than keeping people safe."
75,2020-04-24 17:52:34+00:00,Hi Natalie this video is very interesting and informative. Covid 19 is just the catalyst for whole lot of other social issues. Loss of jobs stress suicide etc. Looks like 2020 will be a long year and one we won't forget for a long time. Hi from the UK by the way.
76,2020-04-24 17:26:04+00:00,Loss of international student fees could decimate UK research - The Guardian 
77,2020-04-24 16:13:38+00:00,"Actually, it clearly demonstrates what critics of climate policies have said, that to be effective these policies would require extreme measures that would result in economic crisis and job loss."
78,2020-04-24 15:59:35+00:00,Loss of international student fees could decimate UK research http://dlvr.it/RVNp30
79,2020-04-24 15:53:55+00:00,"I am pleased to tell you, that less than 10,000 ’city’ jobs have left the UK since the Brexit vote. The only real loss is Euro clearance. The bulk of City activity can not be replicated in the EU. The city, and its funding network, is the UK trumps card."
80,2020-04-24 14:17:47+00:00,"Long term impact should be the economic recession which will bring about loss of jobs and high cost of living. PWDs are most unemployed, unskilled and they are poorest of the poor, many have been depending on people to survive. #disabilitydiscourse"
81,2020-04-24 14:14:07+00:00,"""The worst-hit country is the UK, with 140 million fewer journeys and an estimated £21.1bn revenue loss – risking almost 661,200 jobs and £40.8bn in contribution to the UK economy."" Those are just two industries. "
82,2020-04-24 14:00:03+00:00,"The 90-day suspension of cruises will cost the UK economy £888 million and lead to the loss of 5,525 jobs and £287 million in wages, industry body Cruise Lines International Association (Clia) has warned. https://buff.ly/2XYHC09 #maritime #shipping"
83,2020-04-24 12:04:24+00:00,"Another must-read, impressively quick paper on the economic impacts of Covid-19 from @abicadams and colleagues. Finds substantial job loss in the UK despite Job Retention Scheme, and most likely in low-wage service sectors like retail and hospitality. "
84,2020-04-24 10:54:14+00:00,".@IATA airline association issues gloomier forecasts: “UK this year down 140m passengers: $26.1bn/£21bn revenue loss, risking almost 661,200 jobs and around $50.3bn/£40bn contribution to the UK economy. “European revenue drop this year: $89bn, passengers down 55%”"
85,2020-04-24 10:47:56+00:00,"The kind of thread I really like -- by somebody who knows what he's talking about. I have lived in two towns in poor areas of the UK since mid-70s (Lampeter in Ceredigion, Durham). Both of them used to have substantial clothing industries. Loss of steady(ish) mfg jobs disastrous. "
86,2020-04-24 09:25:25+00:00,We are delighted to have been awarded our latest job with our framework partners @kiergroup. We will be attending @GreatOrmondSt - carrying out sealant works to the first dedicated medical facility for children with sight and hearing loss in the UK. #london #hospital #sealant
87,2020-04-24 08:32:30+00:00,"New analysis from @IATA forecasts that the UK will see 140 million fewer airline passengers this year, resulting in a $26.1bn revenue loss, risking almost 661,200 jobs and around $50.3bn in contribution to the UK economy. https://www.businesstraveller.com/business-travel/2020/04/24/uk-to-see-140-million-fewer-airline-passengers-this-year-says-iata/"
88,2020-04-24 07:26:59+00:00,"The COVID19 epidemic really shows the importance of universal healthcare and a strong structure for supporting people during loss of income given jobs lost or when off work sick. The US is fragile on all these counts, the UK halfway there, continental Europe much less so."
89,2020-04-24 07:26:03+00:00,"The COVID19 epidemic really shows the importance of universal healthcare and a strong structure for supporting people during loss of income given loss of jobs or when off work sick. The US is fragile on all these counts, the UK halfway there, continental Europe much less so."
90,2020-04-24 06:59:51+00:00,"""Businesses in the eurozone suffered their worst month on record; the US economy has now wiped out all the job gains made after the financial crisis, and the UK suffered its worst monthly loss in service and factory output on record."" (FT Brussels briefing)"
91,2020-04-24 01:33:27+00:00,"It doesn't have to be mutually exclusive. Even if a job loss is temporary, it can be traumatic. What is wrong with you."
92,2020-04-23 23:59:28+00:00,"Interestingly, I worked in this system in the UK, now same job in Canada. They stopped us going to multiple sites as 1 of the 1st measures. we had to choose. The government picks up some of the tab for loss of earnings (not mine, but that's a different story)."
93,2020-04-23 20:24:43+00:00,"Raab,Gove and Hancock can't see the wood for the trees. Let's hope Boris is listening and thinking and will see a change of direction is essential. Otherwise it's a bankrupt economy, massive loss of businesses and jobs, far more consequential deaths and prolonged suffering ++++"
94,2020-04-23 18:05:15+00:00,Good job you were the hands of lando Rachel #apparently as traffic has deminished on UK roads many have decided they are formula drivers causing #RTAs &amp; unnecessary loss of life
95,2020-04-23 17:48:14+00:00,"Updated paper from @TeodoraBoneva1 and @abicadams with new results comparing labor market impacts of #COVID-19 across countries. Job loss for employees in US, UK and Germany &gt; Spot the difference. "
96,2020-04-23 16:45:16+00:00," New results comparing labor market impacts of COVID-19 across countries. Job loss for employees in US, UK and Germany. Spot the difference. "
97,2020-04-23 14:59:38+00:00,"Glad you made the onanistic effort. I know you've issues with short term memory loss, but like I already said, I feel sorry for those affected, jobs lost, money wasted. An expensive folly. Just because I've personally benefitted from something doesn't mean I can't see it's harm"
98,2020-04-23 14:45:38+00:00,"For the UK 140 million fewer passengers resulting in: $26.1bn revenue loss, 661,200 jobs at risk $50.3bn in contribution to the UK economy at risk"
99,2020-04-23 14:39:39+00:00,Fashion retailer @Cath_Kidston confirmed its stores will not reopen once the coronavirus lockdown is over. The group is to permanently shut its 60 UK stores with the loss of more than 900 jobs. Story via WT: http://tinyurl.com/CathKidsonShut #fashonretailer #nowonline #Wimbledon
100,2020-04-23 14:06:21+00:00,"Cruise industry generates £10billion a year for the UK, says @CLIAUK. A 60-day suspension of cruising will cost 3,000 jobs and a £539million loss to the economy, said @UKAndyHarmer."
101,2020-04-23 13:47:00+00:00,"Another blow for the high street, as Cath Kidston announces it is to permanently shut all 60 of its UK stores, resulting in the loss of 908 jobs, after the retailer fell into administration. @retailgazette #highstreet #retailnews #retailclosures https://bit.ly/2VNAMHZ"
102,2020-04-23 12:55:28+00:00,Cath Kidston to close all 60 UK stores with loss of 900 jobs 
103,2020-04-23 12:43:37+00:00,"Sorry to hear you are leaving, Hannah! It’s a loss for the UK. All the best for your new job. Please keep in touch."
104,2020-04-23 11:10:07+00:00,Cath Kidston to close all 60 UK stores with loss of 900 jobs http://ow.ly/YqR730qzX8O
105,2020-04-23 09:38:19+00:00,"Each day of the suspension results in the loss of 55 direct jobs &amp;139 total jobs in the UK, according to @CLIAUK. ""These are hard-hitting stats, but what are you going to do with them now?"" asks @TomCruiseTTG. ""Are you talking to govt about these figures?"" https://www.facebook.com/TravelTradeGazette/videos/222051735784711/"
106,2020-04-23 09:35:47+00:00,Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs?CMP=share_btn_tw
107,2020-04-23 08:08:22+00:00,"Problem with not bailing out big companies is the huge loss of jobs and how it effects staff. If a company who has avoided paying UK tax want bailing out, cool, just nationalise it instead. Keep the company going and stop socialising the cost and privatizing profit."
108,2020-04-23 07:53:20+00:00,2.5 billion losses and 30k jobs but not one mention of the failure of high risk profit and loss strategies or a need to reimagine the purpose and role of HE institutions Coronavirus UK: Universities face £2.5bn tuition fee loss next year 
109,2020-04-23 07:33:23+00:00,キャスキッドソン、僕の中でなぜか強烈にソフィア・コッポラと結びついてるんだけど、コラボとかしてたんだっけ。ゼロ年代のことが何も思い出せない… Cath Kidston to close all 60 UK stores with loss of 900 jobs | Retail industry | The Guardian https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs
110,2020-04-23 05:44:27+00:00,Prepackaged administration deals should be illegal Cath Kidston to close all 60 UK stores with loss of 900 jobs https://www.theguardian.com/business/2020/apr/21/cath-kidston-to-close-all-60-uk-stores-with-loss-of-900-jobs
