,0,1
44,2020-04-28 22:49:25+00:00,"to be fair, @Halfords_uk have thrown staff under the bus here... but it's only to protect future jobs, as a cycle technician I am working on cut down hours,yet still expected to have the same output... but any other type of retail, I would be fearing for my job"
45,2020-04-28 22:31:06+00:00,"Uber CTO resigns as company reportedly considers 5,400 job cuts – Business Insider http://dlvr.it/RVf1Cp #UK #TodayUK #WeekUK"
46,2020-04-28 22:10:32+00:00,My fellow CT2 at my current job was hit heavily by this and scored below the cut off despite being extremely competent. I'm certain that if placed in front of a panel he'd be a sure in for a job.
47,2020-04-28 21:10:07+00:00,"I am not being subversive, or right wing or radical for exercising free speech. But its all becoming increasingly clear what the Gov is up to. Its a #scamdemic and the people know.. Job cuts to emergency services ffs.. this is just the start "
48,2020-04-28 20:43:20+00:00,"BBC News - British Airways to cut up to 12,000 jobs as air travel collapses "
49,2020-04-28 19:57:41+00:00,Horrifying BA 25% job cuts. And stranded UK citizens with 747s idle at Bournemouth airport. Time for Change
50,2020-04-28 19:40:10+00:00,"Coronavirus: British Airways set to cut 12,000 jobs as crisis grounds flights sad news, perhaps the UK Government could help, Lufthansa are are negotiating a 9 Billion € bailout http://news.sky.com/story/british-airways-may-cut-12000-jobs-as-virus-crisis-grounds-flights-11980136"
51,2020-04-28 19:34:09+00:00,"You know the country is in a bad way when the UK’s flag carrier airline could cut 12,000 jobs, or almost 30% of its workforce, unless it gets a bailout from the government (which it should). "
52,2020-04-28 19:22:46+00:00,"News of 12,000 job cuts at BA will sound alarm bells in the Treasury - signalling that the coronavirus outbreak is likely to leave a deep scarring effect on parts of the UK economy even after current lockdown restrictions are lifted. https://www.ft.com/content/8529c498-fbf1-4eca-a468-9b26b4ec7a97 via @FT"
53,2020-04-28 19:03:26+00:00,"That party constantly acts in the same manner time and time again. Stuffs up then pats themselves in the back... Remember them trying to convince us 20,000 was more than 23,000 cut by the party.. Job well done lol"
54,2020-04-28 18:55:44+00:00,"BA owner swings to first-quarter loss, warns of major job cuts as virus punishes https://uk.reuters.com/article/uk-health-coronavirus-britishairways-idUKKCN22A2RJ?taid=5ea87c2ed9c55b0001181438&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter"
55,2020-04-28 18:29:25+00:00,"#coronavirus British Airways may cut 12,000 jobs, more than a quarter of its workforce jobs, first quarter revenues declined 13% to $579 million #Covid19 #pandemic #travelalert #CoronaVirusUpdate #britishairways #airline #aviation #uk "
56,2020-04-28 18:05:35+00:00,"@Apicturebydom has just cut my hair, it’s the shortest I’ve ever had it cut but I actually love it so much and he did an amazing job dye job by me, using pretty flamingo and sea siren by @manicpanic_uk (pls sponsor me and send dye) as well as some purple dye from ages ago xoxo "
57,2020-04-28 17:55:00+00:00,"Coronavirus: British Airways to cut up to 12,000 jobs My job is now not safe. Duno if we will be included I am so proud to work for BA. This virus has changed my life completely. https://www.bbc.co.uk/news/business-52462660"
58,2020-04-28 17:43:59+00:00,#BritishAirways / #IAG mulls massive job cuts 
